train_reg_loss_step,epoch,step,val_reg_loss,val_minADE,val_minFDE,val_minMR,train_reg_loss_epoch
2.9540250301361084,0,49,,,,,
1.7690192461013794,0,99,,,,,
,0,124,2.1566526889801025,13.09024715423584,27.175405502319336,0.9948333501815796,
,0,124,,,,,2.6009933948516846
1.5649693012237549,1,149,,,,,
1.2325100898742676,1,199,,,,,
1.288649559020996,1,249,,,,,
,1,249,1.440571904182434,11.353536605834961,24.489030838012695,0.9826666712760925,
,1,249,,,,,1.5081367492675781
0.8289937376976013,2,299,,,,,
1.0104789733886719,2,349,,,,,
,2,374,1.1359456777572632,10.025951385498047,22.328432083129883,0.9643333554267883,
,2,374,,,,,1.0951073169708252
0.9984868764877319,3,399,,,,,
0.9159576296806335,3,449,,,,,
0.4719129502773285,3,499,,,,,
,3,499,0.9265778660774231,9.075040817260742,20.318756103515625,0.9495000243186951,
,3,499,,,,,0.8762201070785522
0.48259031772613525,4,549,,,,,
0.49545353651046753,4,599,,,,,
,4,624,0.7689327597618103,8.124960899353027,18.37956428527832,0.9304999709129333,
,4,624,,,,,0.7235589623451233
0.43105772137641907,5,649,,,,,
0.5947203040122986,5,699,,,,,
0.3058507442474365,5,749,,,,,
,5,749,0.6552309393882751,6.986427307128906,16.53350067138672,0.8976666927337646,
,5,749,,,,,0.6105548739433289
0.5327697396278381,6,799,,,,,
0.43167954683303833,6,849,,,,,
,6,874,0.5706774592399597,6.124764442443848,14.827167510986328,0.8553333282470703,
,6,874,,,,,0.5282123684883118
0.5536758899688721,7,899,,,,,
0.3306419253349304,7,949,,,,,
0.3404887318611145,7,999,,,,,
,7,999,0.5217589735984802,5.360382556915283,13.160672187805176,0.8255000114440918,
,7,999,,,,,0.4620532691478729
0.31070607900619507,8,1049,,,,,
0.3050293028354645,8,1099,,,,,
,8,1124,0.4684324562549591,4.678828239440918,11.530611038208008,0.7743333578109741,
,8,1124,,,,,0.41118693351745605
0.3977240324020386,9,1149,,,,,
0.38778072595596313,9,1199,,,,,
0.34571197628974915,9,1249,,,,,
,9,1249,0.42746520042419434,4.15442419052124,10.813525199890137,0.7321666479110718,
,9,1249,,,,,0.3698002099990845
0.19685739278793335,10,1299,,,,,
0.1874578446149826,10,1349,,,,,
,10,1374,0.3612864911556244,3.575202703475952,8.856678009033203,0.6884999871253967,
,10,1374,,,,,0.32898619771003723
0.19883550703525543,11,1399,,,,,
0.20413950085639954,11,1449,,,,,
0.1891103982925415,11,1499,,,,,
,11,1499,0.32732394337654114,3.172051191329956,7.814454555511475,0.6154999732971191,
,11,1499,,,,,0.28709518909454346
0.43487903475761414,12,1549,,,,,
0.31848573684692383,12,1599,,,,,
,12,1624,0.3160567283630371,2.809650182723999,6.3812994956970215,0.5504999756813049,
,12,1624,,,,,0.2543497085571289
0.19515874981880188,13,1649,,,,,
0.24194364249706268,13,1699,,,,,
0.21450848877429962,13,1749,,,,,
,13,1749,0.2875538468360901,2.5599987506866455,5.918422698974609,0.5183333158493042,
,13,1749,,,,,0.22855564951896667
0.04834927245974541,14,1799,,,,,
0.22915393114089966,14,1849,,,,,
,14,1874,0.24703700840473175,2.3411362171173096,5.236644744873047,0.49900001287460327,
