train_reg_loss_step,epoch,step,val_reg_loss,val_minADE,val_minFDE,val_minMR,train_reg_loss_epoch
2.6606240272521973,0,49,,,,,
2.555518627166748,0,99,,,,,
,0,124,2.0859391689300537,13.145511627197266,27.320125579833984,0.9956666827201843,
,0,124,,,,,2.7592387199401855
1.8586772680282593,1,149,,,,,
1.5818662643432617,1,199,,,,,
1.5314993858337402,1,249,,,,,
,1,249,1.4234073162078857,11.501229286193848,24.861223220825195,0.9819999933242798,
,1,249,,,,,1.6343389749526978
1.0069727897644043,2,299,,,,,
1.1481493711471558,2,349,,,,,
,2,374,1.111160397529602,10.196495056152344,22.740015029907227,0.9670000076293945,
,2,374,,,,,1.232239842414856
1.1142159700393677,3,399,,,,,
0.7961419224739075,3,449,,,,,
0.7697980403900146,3,499,,,,,
,3,499,0.9064794778823853,9.197125434875488,21.198135375976562,0.9556666612625122,
,3,499,,,,,1.0043615102767944
0.9734756946563721,4,549,,,,,
0.8401427865028381,4,599,,,,,
,4,624,0.7457926273345947,8.26491928100586,19.770498275756836,0.9490000009536743,
,4,624,,,,,0.8400729298591614
0.5326771140098572,5,649,,,,,
0.7864087224006653,5,699,,,,,
0.8016847968101501,5,749,,,,,
,5,749,0.6608896255493164,7.3588480949401855,18.044384002685547,0.9316666722297668,
,5,749,,,,,0.7195748686790466
0.7350432276725769,6,799,,,,,
0.6269756555557251,6,849,,,,,
,6,874,0.567766010761261,6.46558141708374,16.10430335998535,0.9066666960716248,
,6,874,,,,,0.6338765621185303
0.4145498275756836,7,899,,,,,
0.2829636037349701,7,949,,,,,
0.6323657631874084,7,999,,,,,
,7,999,0.5097973942756653,5.5391764640808105,14.081365585327148,0.8619999885559082,
,7,999,,,,,0.5631020069122314
0.32329800724983215,8,1049,,,,,
0.11048712581396103,8,1099,,,,,
,8,1124,0.4290241599082947,4.767202377319336,12.221113204956055,0.8236666917800903,
,8,1124,,,,,0.5126186013221741
0.44508618116378784,9,1149,,,,,
0.18014629185199738,9,1199,,,,,
0.6324057579040527,9,1249,,,,,
,9,1249,0.37943559885025024,4.079847812652588,10.304564476013184,0.7426666617393494,
,9,1249,,,,,0.45224127173423767
0.26428601145744324,10,1299,,,,,
0.3958277702331543,10,1349,,,,,
,10,1374,0.3538021445274353,3.426893949508667,8.606715202331543,0.6909999847412109,
,10,1374,,,,,0.3915456533432007
0.2705939710140228,11,1399,,,,,
0.2009943127632141,11,1449,,,,,
0.3294981122016907,11,1499,,,,,
,11,1499,0.27386611700057983,2.89249587059021,7.059325695037842,0.6209999918937683,
,11,1499,,,,,0.3547859787940979
0.3486256003379822,12,1549,,,,,
0.1797042042016983,12,1599,,,,,
,12,1624,0.22768047451972961,2.4690442085266113,5.754125595092773,0.5493333339691162,
,12,1624,,,,,0.30654045939445496
0.08080440014600754,13,1649,,,,,
0.4443889260292053,13,1699,,,,,
0.5835541486740112,13,1749,,,,,
,13,1749,0.2147989422082901,2.2177228927612305,4.947797775268555,0.5009999871253967,
,13,1749,,,,,0.2744396924972534
0.3796696960926056,14,1799,,,,,
0.2905178368091583,14,1849,,,,,
,14,1874,0.19965453445911407,1.9597892761230469,4.313921928405762,0.4556666612625122,
,14,1874,,,,,0.24459457397460938
0.05232352763414383,15,1899,,,,,
0.18026745319366455,15,1949,,,,,
0.31941547989845276,15,1999,,,,,
,15,1999,0.16956038773059845,1.793747901916504,3.9161579608917236,0.4256666600704193,
,15,1999,,,,,0.23055143654346466
0.2152787744998932,16,2049,,,,,
0.16722072660923004,16,2099,,,,,
,16,2124,0.15955980122089386,1.6891158819198608,3.5733838081359863,0.40566667914390564,
,16,2124,,,,,0.20237915217876434
0.04417005926370621,17,2149,,,,,
0.38996636867523193,17,2199,,,,,
0.31375494599342346,17,2249,,,,,
,17,2249,0.12469804286956787,1.584307312965393,3.39713191986084,0.3919999897480011,
,17,2249,,,,,0.2011229246854782
0.3146498203277588,18,2299,,,,,
0.28368788957595825,18,2349,,,,,
,18,2374,0.13506539165973663,1.4861485958099365,3.121328353881836,0.36500000953674316,
