val_reg_loss,val_minADE,val_minFDE,val_minMR,epoch,step,train_reg_loss_epoch,train_reg_loss_step
3.7236337661743164,14.835850715637207,28.81331443786621,0.9993333220481873,0,12,,
,,,,0,12,3.8907268047332764,
3.282270669937134,14.836324691772461,28.683563232421875,0.9993333220481873,1,25,,
,,,,1,25,3.152039051055908,
3.011059284210205,14.748493194580078,28.516271591186523,0.9990000128746033,2,38,,
,,,,2,38,2.81101655960083,
,,,,3,49,,2.901196241378784
2.797334671020508,14.468207359313965,28.32245635986328,0.9990000128746033,3,51,,
,,,,3,51,2.5680201053619385,
2.6290388107299805,14.37532901763916,28.186025619506836,0.9990000128746033,4,64,,
,,,,4,64,2.408034324645996,
2.4829494953155518,13.93149185180664,28.027729034423828,0.9986666440963745,5,77,,
,,,,5,77,2.2504520416259766,
2.3666510581970215,13.690629959106445,27.866859436035156,0.9986666440963745,6,90,,
,,,,6,90,2.1335833072662354,
,,,,7,99,,2.1603620052337646
2.2599785327911377,13.480386734008789,27.677291870117188,0.9983333349227905,7,103,,
,,,,7,103,2.045520305633545,
2.1557741165161133,13.27710247039795,27.459203720092773,0.9976666569709778,8,116,,
,,,,8,116,1.9063706398010254,
2.033222198486328,13.081652641296387,27.217382431030273,0.9973333477973938,9,129,,
,,,,9,129,1.7961070537567139,
1.917946457862854,12.898050308227539,26.927236557006836,0.9963333606719971,10,142,,
,,,,10,142,1.679263949394226,
,,,,11,149,,1.7285182476043701
1.836032509803772,12.725232124328613,26.62345314025879,0.9959999918937683,11,155,,
,,,,11,155,1.6246565580368042,
1.742053747177124,12.556251525878906,26.361892700195312,0.9950000047683716,12,168,,
,,,,12,168,1.474294900894165,
1.682442307472229,12.39295482635498,26.114145278930664,0.9943333268165588,13,181,,
,,,,13,181,1.4383888244628906,
1.63113534450531,12.234782218933105,25.85564613342285,0.9926666617393494,14,194,,
,,,,14,194,1.3989243507385254,
,,,,15,199,,1.1635717153549194
1.5894254446029663,12.102752685546875,25.638452529907227,0.9913333058357239,15,207,,
,,,,15,207,1.3261784315109253,
1.5422537326812744,11.939838409423828,25.403043746948242,0.9893333315849304,16,220,,
,,,,16,220,1.280529260635376,
1.523477554321289,11.821128845214844,25.21247673034668,0.9890000224113464,17,233,,
,,,,17,233,1.2754528522491455,
1.4782288074493408,11.684762954711914,25.011699676513672,0.9883333444595337,18,246,,
,,,,18,246,1.2558917999267578,
,,,,19,249,,1.0397727489471436
1.4427239894866943,11.563718795776367,24.819059371948242,0.987666666507721,19,259,,
,,,,19,259,1.2065848112106323,
1.4089139699935913,11.442378044128418,24.622602462768555,0.9863333106040955,20,272,,
,,,,20,272,1.126056432723999,
1.3792449235916138,11.354040145874023,24.517086029052734,0.9860000014305115,21,285,,
,,,,21,285,1.1280165910720825,
1.3517881631851196,11.226940155029297,24.288135528564453,0.984666645526886,22,298,,
,,,,22,298,1.1350791454315186,
,,,,23,299,,1.04701828956604
1.3274109363555908,11.107786178588867,24.13514518737793,0.9833333492279053,23,311,,
,,,,23,311,1.1061177253723145,
1.2943668365478516,10.99644947052002,23.982053756713867,0.9826666712760925,24,324,,
,,,,24,324,1.0612653493881226,
1.2989062070846558,10.910048484802246,23.83270263671875,0.9810000061988831,25,337,,
,,,,25,337,1.0586183071136475,
,,,,26,349,,1.1254233121871948
1.2608710527420044,10.8507719039917,23.738203048706055,0.981333315372467,26,350,,
,,,,26,350,1.0067946910858154,
