val_reg_loss,val_minADE,val_minFDE,val_minMR,epoch,step,train_reg_loss_epoch,train_reg_loss_step
3.5780253410339355,14.961549758911133,29.034379959106445,0.999666690826416,0,15,,
,,,,0,15,3.7677903175354004,
3.149094343185425,14.967167854309082,28.748401641845703,0.999666690826416,1,31,,
,,,,1,31,3.0014004707336426,
2.8482666015625,14.805791854858398,28.557369232177734,0.9986666440963745,2,47,,
,,,,2,47,2.6858174800872803,
,,,,3,49,,2.738401174545288
2.627345561981201,14.428411483764648,28.317625045776367,0.9986666440963745,3,63,,
,,,,3,63,2.443617105484009,
2.4610373973846436,13.942550659179688,28.1549015045166,0.9983333349227905,4,79,,
,,,,4,79,2.268157482147217,
2.3237266540527344,13.68741512298584,27.979127883911133,0.9983333349227905,5,95,,
,,,,5,95,2.123257875442505,
,,,,6,99,,1.8099883794784546
2.1833384037017822,13.438807487487793,27.764022827148438,0.996999979019165,6,111,,
,,,,6,111,1.990551471710205,
2.0227816104888916,13.228416442871094,27.50645637512207,0.9959999918937683,7,127,,
,,,,7,127,1.8501942157745361,
1.8783694505691528,13.020845413208008,27.275646209716797,0.9946666955947876,8,143,,
,,,,8,143,1.7108104228973389,
,,,,9,149,,1.8508501052856445
1.7676578760147095,12.817889213562012,26.95868492126465,0.9933333396911621,9,159,,
,,,,9,159,1.581668734550476,
1.6832395792007446,12.646285057067871,26.693937301635742,0.9933333396911621,10,175,,
,,,,10,175,1.4713398218154907,
1.6082215309143066,12.47128677368164,26.398820877075195,0.9923333525657654,11,191,,
,,,,11,191,1.4068256616592407,
,,,,12,199,,1.2280158996582031
1.5538402795791626,12.315511703491211,26.178442001342773,0.9916666746139526,12,207,,
,,,,12,207,1.3379629850387573,
1.499076247215271,12.138877868652344,25.878461837768555,0.9896666407585144,13,223,,
,,,,13,223,1.3017046451568604,
1.4512271881103516,11.984457015991211,25.611614227294922,0.987666666507721,14,239,,
,,,,14,239,1.2452638149261475,
,,,,15,249,,1.736283540725708
1.4033468961715698,11.829899787902832,25.400447845458984,0.9860000014305115,15,255,,
,,,,15,255,1.2092822790145874,
1.3671143054962158,11.697863578796387,25.182994842529297,0.9853333234786987,16,271,,
