val_reg_loss,val_minADE,val_minFDE,val_minMR,epoch,step,train_reg_loss_epoch,train_reg_loss_step
3.6359739303588867,14.869638442993164,28.993616104125977,0.9991333484649658,0,15,,
,,,,0,15,4.147891044616699,
3.194474458694458,14.817708969116211,28.62527084350586,0.9990000128746033,1,31,,
,,,,1,31,3.346006155014038,
2.925063133239746,14.869865417480469,28.33839988708496,0.9983999729156494,2,47,,
,,,,2,47,2.9936022758483887,
,,,,3,49,,2.9850447177886963
2.7067477703094482,14.200504302978516,28.12989044189453,0.997866690158844,3,63,,
,,,,3,63,2.784003496170044,
2.5151236057281494,13.961689949035645,27.876188278198242,0.9973999857902527,4,79,,
,,,,4,79,2.6015496253967285,
2.34913969039917,13.753028869628906,27.704212188720703,0.9970666766166687,5,95,,
,,,,5,95,2.440457820892334,
,,,,6,99,,2.1331615447998047
2.1785075664520264,13.589242935180664,27.545671463012695,0.9968666434288025,6,111,,
,,,,6,111,2.289125680923462,
2.0296201705932617,13.110289573669434,27.342370986938477,0.996399998664856,7,127,,
,,,,7,127,2.1065661907196045,
1.9240734577178955,12.879852294921875,27.095001220703125,0.9955999851226807,8,143,,
,,,,8,143,1.9896762371063232,
,,,,9,149,,1.7700368165969849
1.7923460006713867,12.65835189819336,26.80681610107422,0.9951333403587341,9,159,,
,,,,9,159,1.8511989116668701,
1.7099854946136475,12.449962615966797,26.482065200805664,0.9941333532333374,10,175,,
,,,,10,175,1.7517750263214111,
1.6272658109664917,12.251850128173828,26.190841674804688,0.9929999709129333,11,191,,
,,,,11,191,1.6583659648895264,
,,,,12,199,,1.8380206823349
1.5616626739501953,12.07123851776123,25.922853469848633,0.9923999905586243,12,207,,
,,,,12,207,1.591950535774231,
1.4961110353469849,11.889070510864258,25.631933212280273,0.9914000034332275,13,223,,
,,,,13,223,1.5431932210922241,
1.4489821195602417,11.723713874816895,25.402177810668945,0.9904666543006897,14,239,,
,,,,14,239,1.4770246744155884,
,,,,15,249,,1.4194691181182861
1.4109277725219727,11.555218696594238,25.139984130859375,0.989133358001709,15,255,,
,,,,15,255,1.4358422756195068,
1.369309902191162,11.410995483398438,24.896520614624023,0.987666666507721,16,271,,
,,,,16,271,1.4237844944000244,
1.3306143283843994,11.254765510559082,24.657745361328125,0.9852666854858398,17,287,,
,,,,17,287,1.3658422231674194,
,,,,18,299,,1.1757951974868774
1.2941588163375854,11.127830505371094,24.450511932373047,0.9836666584014893,18,303,,
,,,,18,303,1.3181298971176147,
1.2718710899353027,10.989177703857422,24.207815170288086,0.9814000129699707,19,319,,
,,,,19,319,1.2707511186599731,
1.2327138185501099,10.871255874633789,24.02339744567871,0.9806666374206543,20,335,,
,,,,20,335,1.2655630111694336,
,,,,21,349,,1.0966811180114746
1.226057529449463,10.758222579956055,23.85364532470703,0.9803333282470703,21,351,,
,,,,21,351,1.2391172647476196,
1.1866353750228882,10.628219604492188,23.661876678466797,0.9789333343505859,22,367,,
,,,,22,367,1.1879756450653076,
1.1793028116226196,10.530864715576172,23.501968383789062,0.9782000184059143,23,383,,
,,,,23,383,1.1761760711669922,
,,,,24,399,,1.602597713470459
1.1483521461486816,10.427458763122559,23.33371925354004,0.9768666625022888,24,399,,
,,,,24,399,1.1790730953216553,
1.1239064931869507,10.335845947265625,23.181835174560547,0.9762666821479797,25,415,,
,,,,25,415,1.1427931785583496,
1.1228340864181519,10.24928092956543,23.0323543548584,0.9751333594322205,26,431,,
,,,,26,431,1.121138095855713,
1.0892033576965332,10.159072875976562,22.904727935791016,0.9739999771118164,27,447,,
,,,,27,447,1.0884844064712524,
,,,,28,449,,1.013487458229065
1.0764119625091553,10.078508377075195,22.785795211791992,0.9732000231742859,28,463,,
,,,,28,463,1.074679970741272,
1.0718178749084473,9.997931480407715,22.652528762817383,0.9726666808128357,29,479,,
,,,,29,479,1.0859925746917725,
1.0435233116149902,9.935832977294922,22.570724487304688,0.9726666808128357,30,495,,
,,,,30,495,1.0336955785751343,
,,,,31,499,,1.129631757736206
1.0470006465911865,9.86520004272461,22.5018310546875,0.9705333113670349,31,511,,
,,,,31,511,1.0236082077026367,
1.0211225748062134,9.804454803466797,22.373146057128906,0.9710666537284851,32,527,,
,,,,32,527,1.0082924365997314,
1.0024574995040894,9.745016098022461,22.327329635620117,0.9715999960899353,33,543,,
,,,,33,543,0.9973074197769165,
,,,,34,549,,1.0694522857666016
0.9913213849067688,9.68860912322998,22.245840072631836,0.9695333242416382,34,559,,
,,,,34,559,0.9948633909225464,
0.9862476587295532,9.620729446411133,22.07554817199707,0.9684000015258789,35,575,,
,,,,35,575,0.9575355052947998,
0.9776483178138733,9.564393997192383,22.042362213134766,0.9707333445549011,36,591,,
,,,,36,591,0.9529110193252563,
,,,,37,599,,0.7607215642929077
0.9645686149597168,9.54875659942627,22.02901268005371,0.9711999893188477,37,607,,
,,,,37,607,0.9248106479644775,
0.9437354803085327,9.467206954956055,21.858802795410156,0.9685999751091003,38,623,,
,,,,38,623,0.9212242960929871,
0.9452701807022095,9.434501647949219,21.836854934692383,0.9675333499908447,39,639,,
,,,,39,639,0.9266458749771118,
,,,,40,649,,1.222684383392334
0.9448996782302856,9.441176414489746,21.845563888549805,0.9709333181381226,40,655,,
,,,,40,655,0.9205654263496399,
0.9385620355606079,9.355658531188965,21.738649368286133,0.9682666659355164,41,671,,
,,,,41,671,0.9056974053382874,
0.91998291015625,9.36830997467041,21.728727340698242,0.9706666469573975,42,687,,
,,,,42,687,0.8946306705474854,
,,,,43,699,,0.6208133697509766
0.9091057777404785,9.282647132873535,21.593542098999023,0.9666000008583069,43,703,,
,,,,43,703,0.8759186863899231,
0.9055773615837097,9.249124526977539,21.533592224121094,0.9661999940872192,44,719,,
,,,,44,719,0.8609271049499512,
0.9036621451377869,9.222810745239258,21.514467239379883,0.9652000069618225,45,735,,
,,,,45,735,0.8661317825317383,
,,,,46,749,,0.8727530837059021
0.9030236005783081,9.193863868713379,21.42302131652832,0.9625999927520752,46,751,,
,,,,46,751,0.8610391616821289,
0.8943971991539001,9.166791915893555,21.414514541625977,0.9642666578292847,47,767,,
,,,,47,767,0.8610449433326721,
0.8890925645828247,9.154812812805176,21.368732452392578,0.9643999934196472,48,783,,
,,,,48,783,0.8377677798271179,
,,,,49,799,,0.6188019514083862
0.885265052318573,9.150421142578125,21.398807525634766,0.9656000137329102,49,799,,
,,,,49,799,0.8441337943077087,
0.8853611946105957,9.129518508911133,21.36353302001953,0.9643999934196472,50,815,,
,,,,50,815,0.849020779132843,
0.8831497430801392,9.115819931030273,21.33566665649414,0.9646666646003723,51,831,,
,,,,51,831,0.8598583340644836,
0.8805589079856873,9.108617782592773,21.301599502563477,0.9637333154678345,52,847,,
,,,,52,847,0.8370882272720337,
,,,,53,849,,0.9467116594314575
0.879258930683136,9.094311714172363,21.281883239746094,0.964733362197876,53,863,,
,,,,53,863,0.8467862010002136,
0.8747182488441467,9.086261749267578,21.26505470275879,0.9630666375160217,54,879,,
,,,,54,879,0.8252862691879272,
0.8753799200057983,9.090168952941895,21.289274215698242,0.9649333357810974,55,895,,
,,,,55,895,0.8166773319244385,
,,,,56,899,,1.1507086753845215
0.8728708624839783,9.080146789550781,21.262466430664062,0.9642666578292847,56,911,,
,,,,56,911,0.8250773549079895,
0.8725734949111938,9.070165634155273,21.24913215637207,0.963533341884613,57,927,,
,,,,57,927,0.8216156363487244,
0.87165766954422,9.069536209106445,21.246318817138672,0.9634000062942505,58,943,,
,,,,58,943,0.8275265097618103,
,,,,59,949,,0.9022175073623657
0.8724076151847839,9.068697929382324,21.250627517700195,0.9641333222389221,59,959,,
,,,,59,959,0.8419873714447021,
0.8709985613822937,9.067453384399414,21.244176864624023,0.9637333154678345,60,975,,
,,,,60,975,0.8438445925712585,
0.870742917060852,9.066386222839355,21.241708755493164,0.9635999798774719,61,991,,
,,,,61,991,0.8278664350509644,
,,,,62,999,,0.7860692143440247
0.870810866355896,9.066160202026367,21.24197769165039,0.9635999798774719,62,1007,,
,,,,62,1007,0.8304685950279236,
0.8707484006881714,9.066006660461426,21.241689682006836,0.9636666774749756,63,1023,,
,,,,63,1023,0.8243040442466736,
